         974081 function calls (965351 primitive calls) in 300.959 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      749    0.017    0.000    0.031    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:840(_make_device_info_dictionary)
     2205    0.031    0.000    0.031    0.000 {built-in method numpy.arange}
      735    0.004    0.000    0.030    0.000 {method 'all' of 'numpy.ndarray' objects}
     2209    0.030    0.000    0.030    0.000 {method '__exit__' of '_io._IOBase' objects}
     5145    0.021    0.000    0.027    0.000 /usr/lib/python3.11/threading.py:276(_acquire_restore)
     2209    0.027    0.000    0.027    0.000 {method 'split' of 'bytes' objects}
     6615    0.027    0.000    0.027    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:6097(is_auto_dtype_conversion_enabled)
     2205    0.009    0.000    0.027    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3269(round)
     2205    0.026    0.000    0.026    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.InputIndices}
     5881    0.018    0.000    0.026    0.000 /usr/lib/python3.11/threading.py:264(__enter__)
      735    0.002    0.000    0.026    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:61(_all)
      735    0.024    0.000    0.025    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
     8820    0.021    0.000    0.025    0.000 <frozen importlib._bootstrap>:1103(_sanity_check)
     7351    0.024    0.000    0.024    0.000 /usr/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
    49995    0.023    0.000    0.023    0.000 {built-in method builtins.len}
      735    0.018    0.000    0.021    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:413(_can_dot)
     2940    0.014    0.000    0.020    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numerictypes.py:283(issubclass_)
      735    0.006    0.000    0.019    0.000 /home/alvaro/TFG/V5_Audio/audio_recorder.py:125(is_active)
     2940    0.019    0.000    0.019    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:264(__eq__)
     2213    0.005    0.000    0.019    0.000 <frozen abc>:117(__instancecheck__)
      735    0.002    0.000    0.018    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:379(_numpy)
      735    0.017    0.000    0.018    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:2234(dtype_r2c)
     8820    0.017    0.000    0.017    0.000 {built-in method numpy.asanyarray}
      735    0.014    0.000    0.017    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:466(expand_to)
    13275    0.017    0.000    0.017    0.000 {method 'get' of 'dict' objects}
     5881    0.012    0.000    0.016    0.000 /usr/lib/python3.11/threading.py:267(__exit__)
     2940    0.012    0.000    0.016    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
      736    0.016    0.000    0.016    0.000 {built-in method builtins.round}
      735    0.007    0.000    0.016    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:194(is_compatible_with)
     3675    0.016    0.000    0.016    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorName}
      735    0.015    0.000    0.015    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
     2940    0.008    0.000    0.015    0.000 /usr/lib/python3.11/logging/__init__.py:1467(debug)
      735    0.010    0.000    0.015    0.000 /usr/lib/python3.11/logging/__init__.py:2150(debug)
      735    0.013    0.000    0.015    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:85(_find_contraction)
     5880    0.012    0.000    0.015    0.000 /usr/lib/python3.11/queue.py:217(_get)
     3675    0.014    0.000    0.014    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorQuantizationParameters}
     2213    0.014    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
     3675    0.014    0.000    0.014    0.000 {built-in method builtins.sorted}
      735    0.005    0.000    0.014    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:503(is_active)
      749    0.006    0.000    0.013    0.000 /usr/lib/python3.11/locale.py:678(getpreferredencoding)
      735    0.004    0.000    0.013    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/shape_util.py:42(maybe_set_static_shape)
     2205    0.013    0.000    0.013    0.000 {built-in method numpy.empty}
    11831    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
      735    0.010    0.000    0.013    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:654(_remove_stream)
     9012    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
     3675    0.012    0.000    0.012    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorSize}
     3675    0.012    0.000    0.012    0.000 {method 'astype' of 'numpy.ndarray' objects}
     4410    0.008    0.000    0.012    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1380(<listcomp>)
     1470    0.004    0.000    0.011    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:277(__ne__)
     3675    0.011    0.000    0.011    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorType}
     4410    0.011    0.000    0.011    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
     3675    0.011    0.000    0.011    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      735    0.011    0.000    0.011    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     5145    0.008    0.000    0.011    0.000 /usr/lib/python3.11/threading.py:273(_release_save)
     3675    0.010    0.000    0.010    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorSizeSignature}
     2205    0.010    0.000    0.010    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:58(_view_roi)
     1470    0.005    0.000    0.010    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:18(_flop_count)
     4410    0.009    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:109(<genexpr>)
     3675    0.009    0.000    0.009    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorQuantization}
      735    0.009    0.000    0.009    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:87(_frame_duration_seconds)
     5147    0.009    0.000    0.009    0.000 {built-in method _thread.allocate_lock}
     5883    0.009    0.000    0.009    0.000 {built-in method builtins.issubclass}
    12496    0.009    0.000    0.009    0.000 {built-in method time.monotonic}
     8085    0.009    0.000    0.009    0.000 {method 'count' of 'str' objects}
     3675    0.009    0.000    0.009    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorSparsityParameters}
     4410    0.009    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:33(_slice_at_axis)
     5881    0.009    0.000    0.009    0.000 {method '__enter__' of '_thread.lock' objects}
