         983162 function calls (974355 primitive calls) in 301.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.029    0.029 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:594(terminate)
        1    0.028    0.028    0.028    0.028 {built-in method pyaudio._portaudio.terminate}
     5181    0.022    0.000    0.028    0.000 /usr/lib/python3.11/threading.py:276(_acquire_restore)
     2226    0.010    0.000    0.028    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3269(round)
      742    0.002    0.000    0.027    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:61(_all)
     8904    0.022    0.000    0.026    0.000 <frozen importlib._bootstrap>:1103(_sanity_check)
      742    0.024    0.000    0.026    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
     6678    0.025    0.000    0.025    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:6097(is_auto_dtype_conversion_enabled)
     7421    0.025    0.000    0.025    0.000 /usr/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
     2226    0.025    0.000    0.025    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.InputIndices}
    50455    0.023    0.000    0.023    0.000 {built-in method builtins.len}
      742    0.012    0.000    0.022    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/shape_util.py:42(maybe_set_static_shape)
     5937    0.014    0.000    0.022    0.000 /usr/lib/python3.11/threading.py:264(__enter__)
      742    0.018    0.000    0.021    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:413(_can_dot)
     2968    0.014    0.000    0.020    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numerictypes.py:283(issubclass_)
     2230    0.020    0.000    0.020    0.000 {method 'split' of 'bytes' objects}
    13400    0.019    0.000    0.019    0.000 {method 'get' of 'dict' objects}
      742    0.018    0.000    0.018    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:2234(dtype_r2c)
      742    0.004    0.000    0.018    0.000 /home/alvaro/TFG/V5_Audio/audio_recorder.py:125(is_active)
     2968    0.014    0.000    0.018    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
     8904    0.018    0.000    0.018    0.000 {built-in method numpy.asanyarray}
      742    0.002    0.000    0.018    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:379(_numpy)
      742    0.014    0.000    0.017    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:466(expand_to)
      742    0.007    0.000    0.017    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:194(is_compatible_with)
     5937    0.012    0.000    0.017    0.000 /usr/lib/python3.11/threading.py:267(__exit__)
     2234    0.005    0.000    0.016    0.000 <frozen abc>:117(__instancecheck__)
     5936    0.013    0.000    0.015    0.000 /usr/lib/python3.11/queue.py:217(_get)
      742    0.015    0.000    0.015    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
      756    0.005    0.000    0.015    0.000 /usr/lib/python3.11/locale.py:678(getpreferredencoding)
      742    0.010    0.000    0.015    0.000 /usr/lib/python3.11/logging/__init__.py:2150(debug)
     2968    0.015    0.000    0.015    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:264(__eq__)
      742    0.014    0.000    0.015    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:85(_find_contraction)
     2968    0.007    0.000    0.014    0.000 /usr/lib/python3.11/logging/__init__.py:1467(debug)
      742    0.005    0.000    0.014    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:503(is_active)
     3710    0.014    0.000    0.014    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorName}
     3710    0.014    0.000    0.014    0.000 {built-in method builtins.sorted}
     3710    0.014    0.000    0.014    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorQuantization}
     3710    0.013    0.000    0.013    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorQuantizationParameters}
      743    0.013    0.000    0.013    0.000 {built-in method builtins.round}
    11943    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
      742    0.011    0.000    0.013    0.000 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:654(_remove_stream)
     3710    0.013    0.000    0.013    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorSize}
     2226    0.012    0.000    0.012    0.000 {built-in method numpy.empty}
     9093    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
     4452    0.008    0.000    0.012    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1380(<listcomp>)
     3710    0.012    0.000    0.012    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorSizeSignature}
     3710    0.012    0.000    0.012    0.000 {method 'astype' of 'numpy.ndarray' objects}
      742    0.012    0.000    0.012    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     4452    0.011    0.000    0.011    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
     2234    0.011    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
     1484    0.004    0.000    0.011    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/dtypes.py:277(__ne__)
     3710    0.011    0.000    0.011    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorType}
     3710    0.011    0.000    0.011    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      756    0.011    0.000    0.011    0.000 {built-in method _locale.getencoding}
     5181    0.008    0.000    0.010    0.000 /usr/lib/python3.11/threading.py:273(_release_save)
      742    0.010    0.000    0.010    0.000 {built-in method pyaudio._portaudio.is_stream_active}
     1484    0.005    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:18(_flop_count)
     2226    0.009    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:58(_view_roi)
     5939    0.009    0.000    0.009    0.000 {built-in method builtins.issubclass}
     8162    0.009    0.000    0.009    0.000 {method 'count' of 'str' objects}
    12602    0.009    0.000    0.009    0.000 {built-in method time.monotonic}
     3710    0.009    0.000    0.009    0.000 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.TensorSparsityParameters}
     4452    0.009    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:109(<genexpr>)
